Education Level,Years of Experience,Location,Industry,Job Title,Salary
Bachelor's,20,Urban,Healthcare,Project Manager,98697.9532765653
High School,10,Suburban,Education,Project Manager,46970.93448851284
High School,38,Rural,Education,Data Scientist,64408.31285595315
Bachelor's,40,Urban,Tech,Software Engineer,105551.36844311641
High School,3,Urban,Finance,Data Scientist,25975.02846736731
Bachelor's,24,Suburban,Healthcare,Project Manager,70182.62887555001
High School,31,Suburban,Finance,Business Analyst,54812.546066555544
Master's,29,Urban,Tech,Business Analyst,112980.36651590219
Master's,25,Suburban,Healthcare,Data Scientist,110079.66989001336
Bachelor's,35,Urban,Education,Project Manager,114149.72737132089
High School,33,Rural,Finance,Others,46791.88688860854
PhD,8,Suburban,Finance,Project Manager,87160.33538871944
High School,11,Suburban,Finance,Data Scientist,36516.544281406364
Master's,1,Rural,Education,Project Manager,58122.03120749876
Master's,37,Urban,Tech,Business Analyst,131669.30376064565
High School,4,Urban,Education,Others,57177.15844724451
High School,4,Suburban,Education,Data Scientist,43529.765740255876
PhD,21,Urban,Tech,Data Scientist,117651.69155009261
PhD,4,Urban,Tech,Software Engineer,89064.24234333445
High School,3,Rural,Education,Others,29105.09320701193
High School,8,Rural,Tech,Data Scientist,45708.14166993086
High School,28,Rural,Finance,Project Manager,80824.5473585201
High School,21,Suburban,Healthcare,Project Manager,47543.99620549146
Bachelor's,26,Rural,Tech,Project Manager,104881.77291068189
High School,9,Rural,Healthcare,Project Manager,67401.10958422229
PhD,15,Urban,Finance,Data Scientist,107320.93133711275
Master's,9,Rural,Tech,Business Analyst,80526.55378938692
Bachelor's,5,Suburban,Education,Others,53518.80632608883
High School,4,Rural,Education,Project Manager,36980.89985687887
Master's,5,Suburban,Finance,Data Scientist,74593.20903218174
Bachelor's,24,Urban,Tech,Data Scientist,94865.77461389305
Master's,3,Urban,Education,Project Manager,59080.68719607218
High School,39,Rural,Tech,Software Engineer,74534.77904703889
High School,31,Urban,Healthcare,Data Scientist,65655.74673072236
PhD,34,Rural,Education,Others,151876.84507160512
High School,9,Urban,Finance,Others,62572.85063680741
High School,33,Suburban,Education,Software Engineer,63309.74772369059
Bachelor's,35,Urban,Finance,Data Scientist,112079.57585812744
PhD,5,Rural,Finance,Software Engineer,74200.93426772662
Bachelor's,15,Rural,Healthcare,Data Scientist,57396.30992647135
Master's,18,Rural,Healthcare,Data Scientist,73640.74703065958
High School,33,Suburban,Finance,Software Engineer,84319.02604935672
Master's,24,Urban,Education,Business Analyst,93492.34407358369
Bachelor's,30,Rural,Finance,Project Manager,112804.54239837562
High School,40,Suburban,Tech,Project Manager,95374.00469680078
High School,16,Suburban,Tech,Project Manager,60139.37080412154
Bachelor's,29,Suburban,Education,Software Engineer,86868.74167093943
Bachelor's,38,Urban,Education,Data Scientist,84012.76794249816
Bachelor's,30,Urban,Healthcare,Data Scientist,79157.26294159122
Bachelor's,18,Urban,Tech,Others,81144.81999896065
Bachelor's,34,Suburban,Finance,Data Scientist,134363.02985014507
High School,28,Urban,Finance,Business Analyst,89765.85011682016
Bachelor's,0,Rural,Tech,Project Manager,59354.54701234621
High School,3,Suburban,Tech,Business Analyst,50260.15211944062
High School,27,Urban,Healthcare,Project Manager,87831.59704038934
Bachelor's,17,Suburban,Tech,Software Engineer,81002.09385590212
Bachelor's,25,Suburban,Healthcare,Business Analyst,83410.01023791528
PhD,39,Urban,Education,Data Scientist,143502.90355979136
High School,18,Suburban,Education,Project Manager,54736.76555429135
Bachelor's,5,Urban,Tech,Others,50949.02918635276
Bachelor's,0,Urban,Tech,Business Analyst,48525.57548412808
Bachelor's,7,Urban,Tech,Software Engineer,46389.33717035611
PhD,32,Suburban,Tech,Others,135837.2666906491
PhD,20,Suburban,Finance,Software Engineer,102449.02458853499
Master's,23,Urban,Finance,Project Manager,96649.44990480212
High School,24,Suburban,Education,Business Analyst,77100.91093642381
Master's,18,Urban,Finance,Software Engineer,111588.91431369813
Bachelor's,28,Rural,Tech,Others,104167.08537815434
PhD,9,Suburban,Healthcare,Others,100152.08474851944
PhD,11,Suburban,Education,Data Scientist,107532.63779389688
Master's,32,Rural,Tech,Software Engineer,123597.74736887796
PhD,6,Rural,Finance,Business Analyst,78817.26286989776
Bachelor's,16,Rural,Healthcare,Business Analyst,76391.0927374156
PhD,9,Urban,Healthcare,Data Scientist,109238.88106864142
Master's,30,Urban,Finance,Others,129243.23502899136
Bachelor's,5,Rural,Tech,Software Engineer,58262.112871283985
Master's,16,Urban,Healthcare,Others,77712.36634282589
PhD,36,Suburban,Healthcare,Software Engineer,128035.69215635778
Master's,17,Rural,Finance,Software Engineer,104909.80564739728
Master's,25,Suburban,Healthcare,Software Engineer,106935.34808796427
High School,15,Urban,Healthcare,Others,55457.554271051646
PhD,7,Rural,Healthcare,Others,86454.40772086817
PhD,23,Urban,Education,Others,113963.83045096077
Master's,12,Suburban,Tech,Project Manager,89976.38861851368
High School,28,Urban,Tech,Others,59044.42847925721
PhD,31,Suburban,Finance,Data Scientist,137099.55085243165
Bachelor's,23,Urban,Tech,Project Manager,75178.22178976423
Master's,15,Suburban,Healthcare,Software Engineer,109384.37155840061
PhD,10,Urban,Tech,Business Analyst,109894.90551130542
Bachelor's,31,Rural,Education,Project Manager,109104.11232823964
PhD,5,Rural,Healthcare,Project Manager,100973.5332403261
Bachelor's,34,Urban,Healthcare,Software Engineer,80645.89017788507
Master's,32,Suburban,Education,Others,120023.39532091453
PhD,17,Urban,Education,Others,110066.40360758721
PhD,36,Rural,Tech,Project Manager,132411.80841926206
High School,12,Suburban,Tech,Others,36260.77781077442
Master's,9,Urban,Tech,Project Manager,82070.99686971516
Bachelor's,36,Urban,Education,Business Analyst,100156.91238186849
PhD,25,Suburban,Tech,Business Analyst,132263.12446581278
PhD,16,Urban,Finance,Software Engineer,118171.3390794323
Bachelor's,0,Rural,Tech,Data Scientist,42271.46575398891
Master's,24,Rural,Education,Data Scientist,102286.47657232893
High School,33,Suburban,Education,Others,100501.11760495839
High School,38,Urban,Finance,Data Scientist,102081.79328428941
PhD,9,Urban,Healthcare,Business Analyst,89065.4764050094
Bachelor's,19,Rural,Finance,Software Engineer,69803.60571362235
PhD,6,Suburban,Education,Business Analyst,87064.6449749688
Bachelor's,15,Suburban,Healthcare,Project Manager,85812.29825359969
High School,36,Suburban,Finance,Others,87814.81235863655
Master's,28,Rural,Finance,Others,117873.63022214385
Bachelor's,11,Rural,Healthcare,Data Scientist,63378.197801926704
High School,16,Suburban,Finance,Project Manager,53518.917826622834
PhD,19,Suburban,Healthcare,Data Scientist,121621.6904609346
Bachelor's,25,Urban,Tech,Data Scientist,68351.74070677003
Master's,18,Urban,Healthcare,Data Scientist,86732.69325101457
PhD,11,Suburban,Finance,Project Manager,89466.9673014679
PhD,20,Rural,Tech,Data Scientist,133903.20704911035
High School,33,Rural,Education,Others,73380.6948716832
Bachelor's,6,Urban,Education,Data Scientist,40211.605781072525
PhD,34,Suburban,Education,Project Manager,160446.3945451193
Master's,14,Rural,Finance,Project Manager,76685.23762165946
Bachelor's,0,Rural,Tech,Business Analyst,44990.3504186546
Master's,25,Rural,Healthcare,Data Scientist,118881.72861102616
PhD,34,Rural,Education,Project Manager,150779.00829866837
Master's,24,Urban,Education,Data Scientist,103741.17882051125
High School,14,Rural,Tech,Software Engineer,64633.71797279794
Master's,21,Rural,Tech,Others,111008.61011340091
Bachelor's,5,Suburban,Tech,Others,70587.94708258743
Master's,14,Suburban,Finance,Data Scientist,97621.55780366494
Master's,23,Urban,Tech,Others,125927.09758007331
High School,20,Urban,Healthcare,Others,72863.63503924188
Master's,6,Urban,Healthcare,Software Engineer,77082.69775472613
Master's,28,Urban,Education,Others,111680.3071690748
PhD,31,Rural,Healthcare,Others,144307.84144469068
PhD,31,Suburban,Tech,Project Manager,130288.00161644882
Bachelor's,4,Rural,Healthcare,Others,42625.89171964415
PhD,3,Rural,Education,Data Scientist,87617.38397532872
PhD,21,Rural,Finance,Others,143516.71385155723
PhD,17,Suburban,Healthcare,Data Scientist,100246.68628721421
PhD,34,Urban,Education,Others,125979.07287216361
High School,16,Urban,Education,Data Scientist,58038.813230408974
PhD,23,Suburban,Tech,Others,125804.9070524743
High School,1,Suburban,Education,Data Scientist,35489.2581973096
High School,12,Urban,Healthcare,Others,41952.79291885937
PhD,14,Rural,Education,Software Engineer,118127.76366996337
Master's,4,Urban,Education,Project Manager,86231.85441146725
High School,2,Suburban,Tech,Project Manager,46230.323439815
Master's,36,Urban,Tech,Project Manager,135256.8819936316
Master's,36,Urban,Healthcare,Project Manager,116037.43428902964
PhD,36,Urban,Education,Software Engineer,117454.66377858812
Bachelor's,2,Suburban,Finance,Software Engineer,45972.83954727669
PhD,34,Suburban,Education,Others,138374.66601309457
Bachelor's,22,Urban,Finance,Software Engineer,75766.55311240349
Bachelor's,27,Urban,Healthcare,Project Manager,72133.80723640055
PhD,29,Rural,Tech,Business Analyst,110173.06441195206
PhD,17,Rural,Healthcare,Others,106335.94777418849
Bachelor's,35,Urban,Tech,Data Scientist,97814.16224219048
PhD,32,Suburban,Tech,Project Manager,162631.93103646144
Bachelor's,25,Rural,Education,Project Manager,77899.76938756726
Master's,39,Urban,Education,Project Manager,137456.16073638128
PhD,16,Rural,Tech,Software Engineer,116407.32509965028
Master's,39,Rural,Finance,Data Scientist,113469.621740494
High School,6,Rural,Finance,Others,48931.23971355919
Master's,7,Suburban,Education,Project Manager,83571.03583107739
Master's,30,Urban,Healthcare,Data Scientist,136419.09285912296
Bachelor's,11,Suburban,Finance,Business Analyst,58501.770737667845
Master's,30,Suburban,Tech,Software Engineer,105240.69700433567
PhD,18,Rural,Education,Project Manager,122709.90842219109
Bachelor's,9,Urban,Education,Data Scientist,70899.52650499046
High School,38,Rural,Tech,Data Scientist,100504.30386514652
PhD,11,Suburban,Healthcare,Project Manager,143856.68189808144
High School,19,Suburban,Tech,Data Scientist,48778.39207679649
Master's,36,Urban,Healthcare,Data Scientist,105725.36763030983
PhD,40,Suburban,Education,Others,139934.44959419285
PhD,6,Suburban,Healthcare,Software Engineer,94296.60510640773
High School,13,Urban,Tech,Others,64531.75005491651
PhD,10,Rural,Education,Software Engineer,102816.5613785332
PhD,6,Urban,Finance,Software Engineer,113550.52098366138
PhD,28,Suburban,Education,Others,145276.25115378125
Master's,9,Urban,Tech,Project Manager,93244.69296360516
High School,28,Rural,Tech,Data Scientist,85755.68626626804
PhD,8,Suburban,Education,Business Analyst,109216.48006621937
Bachelor's,35,Rural,Education,Others,107962.10601106075
Bachelor's,9,Rural,Education,Others,61108.91517914255
Bachelor's,18,Urban,Healthcare,Project Manager,77112.86455452512
Bachelor's,30,Rural,Finance,Data Scientist,87455.46986164595
Master's,16,Urban,Healthcare,Others,121091.11475506023
PhD,8,Urban,Tech,Business Analyst,82800.4677473302
High School,32,Rural,Education,Data Scientist,71660.14380559973
PhD,33,Urban,Healthcare,Others,128810.56163771386
Master's,23,Urban,Healthcare,Others,116234.47080493745
Bachelor's,8,Rural,Tech,Software Engineer,63753.76085680181
Master's,6,Suburban,Healthcare,Software Engineer,69502.70153184955
PhD,15,Urban,Tech,Others,111115.93496866387
High School,18,Urban,Healthcare,Project Manager,34900.26787116841
Master's,38,Rural,Finance,Software Engineer,139787.17060874176
High School,5,Urban,Tech,Others,36848.91983546908
Master's,10,Rural,Finance,Data Scientist,82759.6750045457
High School,11,Suburban,Healthcare,Business Analyst,54225.85470511142
High School,12,Suburban,Finance,Software Engineer,55072.88917376109
Bachelor's,11,Rural,Finance,Others,58557.404262688884
High School,20,Suburban,Finance,Software Engineer,73636.12837646471
Bachelor's,9,Rural,Healthcare,Data Scientist,71901.32564639053
PhD,19,Urban,Tech,Project Manager,100928.15807775735
PhD,35,Suburban,Healthcare,Others,148177.573285274
Bachelor's,27,Urban,Healthcare,Data Scientist,78023.13206303722
Bachelor's,23,Urban,Healthcare,Business Analyst,75062.41900804578
Master's,4,Rural,Tech,Others,81699.33623511619
Master's,36,Suburban,Education,Business Analyst,134711.3871933476
Master's,11,Suburban,Healthcare,Project Manager,88361.2835105359
PhD,34,Urban,Healthcare,Others,133283.1506622294
Master's,39,Urban,Tech,Others,140313.75452819827
High School,1,Rural,Education,Data Scientist,38093.468853190316
High School,40,Suburban,Education,Software Engineer,100342.54862976325
Master's,38,Rural,Education,Others,129370.25735501849
High School,8,Rural,Education,Project Manager,26003.825252244882
PhD,21,Rural,Tech,Others,122677.06309568482
High School,4,Suburban,Tech,Others,43386.59921381657
PhD,11,Rural,Education,Others,100093.54809869692
Bachelor's,0,Suburban,Finance,Others,35178.724005450196
Bachelor's,21,Rural,Tech,Project Manager,73855.8231371193
Bachelor's,37,Urban,Finance,Data Scientist,87697.34082250686
Bachelor's,18,Rural,Finance,Software Engineer,59243.304520353435
High School,15,Rural,Education,Project Manager,48224.765141164375
Master's,30,Suburban,Education,Project Manager,120959.7771879328
High School,2,Urban,Healthcare,Business Analyst,41595.05240818797
PhD,22,Urban,Finance,Software Engineer,108685.40165074411
High School,17,Suburban,Healthcare,Data Scientist,62712.64768568502
High School,25,Suburban,Education,Data Scientist,58602.29205976334
PhD,12,Urban,Finance,Business Analyst,101911.87638191265
Bachelor's,17,Suburban,Tech,Business Analyst,71548.80864754067
Bachelor's,2,Urban,Healthcare,Project Manager,37373.32810949703
Bachelor's,22,Rural,Education,Data Scientist,106580.15639982978
Master's,2,Rural,Finance,Data Scientist,74086.99747786002
PhD,24,Urban,Education,Data Scientist,129685.93109669536
PhD,26,Urban,Healthcare,Project Manager,132945.5583771794
High School,26,Rural,Education,Data Scientist,33523.360167599305
Master's,38,Rural,Education,Others,159089.53225071818
Bachelor's,24,Urban,Tech,Business Analyst,89909.48044214233
Master's,23,Suburban,Education,Business Analyst,115879.41904160097
PhD,7,Suburban,Finance,Business Analyst,100761.62296063406
PhD,8,Urban,Finance,Business Analyst,86931.2322307434
High School,36,Suburban,Tech,Others,68126.30104739482
High School,29,Rural,Finance,Software Engineer,48668.03850812268
PhD,18,Rural,Education,Data Scientist,119673.3191422641
Bachelor's,15,Suburban,Education,Business Analyst,75895.35404865933
Bachelor's,23,Urban,Finance,Data Scientist,87084.85371297655
Master's,20,Rural,Healthcare,Data Scientist,99916.95830177618
PhD,35,Rural,Education,Others,151133.33894893565
PhD,39,Rural,Finance,Data Scientist,139629.99322021962
Bachelor's,38,Suburban,Education,Business Analyst,140389.65425379277
Bachelor's,5,Urban,Education,Data Scientist,69828.20387431268
PhD,4,Suburban,Tech,Others,100374.92717760426
High School,13,Urban,Finance,Business Analyst,58363.94530536073
PhD,3,Urban,Education,Others,104483.76303275069
PhD,7,Suburban,Healthcare,Project Manager,106163.39886589813
Bachelor's,23,Rural,Finance,Software Engineer,103221.77952892569
Bachelor's,10,Urban,Healthcare,Data Scientist,56203.396513825464
High School,16,Suburban,Finance,Data Scientist,61146.11205195398
High School,20,Rural,Healthcare,Data Scientist,78096.4280125006
Master's,25,Urban,Healthcare,Project Manager,84413.0024394079
PhD,26,Urban,Finance,Software Engineer,131689.63345974157
Bachelor's,15,Rural,Tech,Others,79161.04978443355
High School,25,Urban,Tech,Project Manager,41640.58634115558
Master's,32,Suburban,Finance,Project Manager,125394.20086016583
Master's,30,Urban,Education,Business Analyst,114562.94019640361
Bachelor's,5,Urban,Finance,Project Manager,63383.062815912366
Bachelor's,7,Rural,Finance,Project Manager,58248.00703589249
Master's,6,Suburban,Education,Data Scientist,70574.71830829707
High School,33,Rural,Finance,Business Analyst,101519.6366360145
Master's,13,Suburban,Finance,Others,82053.34976010495
PhD,15,Rural,Education,Software Engineer,117284.63794021583
PhD,8,Urban,Education,Others,113324.47623484099
Bachelor's,9,Suburban,Tech,Business Analyst,54162.05505616819
High School,16,Suburban,Healthcare,Data Scientist,47376.49247972827
High School,11,Urban,Healthcare,Software Engineer,38587.72854956661
PhD,5,Rural,Tech,Others,92428.20355462276
Master's,18,Suburban,Tech,Software Engineer,122970.85207906457
Bachelor's,40,Urban,Healthcare,Software Engineer,97887.7588407028
Master's,28,Urban,Tech,Software Engineer,128995.92676622207
Master's,5,Suburban,Finance,Project Manager,80445.8733393146
Master's,24,Suburban,Tech,Business Analyst,115414.59627582466
High School,23,Suburban,Tech,Business Analyst,40491.86461014817
PhD,24,Urban,Tech,Data Scientist,149183.60820522206
High School,15,Rural,Tech,Others,36146.304748613555
PhD,15,Rural,Healthcare,Data Scientist,131265.9426602628
Bachelor's,5,Suburban,Education,Others,66155.15365022252
Bachelor's,36,Urban,Healthcare,Software Engineer,112791.79018134471
Master's,20,Urban,Healthcare,Others,92245.15023923358
PhD,3,Suburban,Education,Others,120797.60551093298
PhD,33,Urban,Healthcare,Software Engineer,129737.89560174427
PhD,27,Urban,Finance,Data Scientist,128138.880649184
Master's,37,Urban,Education,Others,104422.3729548966
Master's,40,Suburban,Finance,Data Scientist,122888.51731252915
Bachelor's,27,Suburban,Healthcare,Data Scientist,98566.10847172214
High School,16,Suburban,Healthcare,Business Analyst,47557.969683387564
PhD,13,Rural,Education,Software Engineer,121366.51047944746
PhD,6,Rural,Healthcare,Software Engineer,94991.57632763663
High School,21,Suburban,Tech,Project Manager,79193.55514445824
PhD,0,Urban,Finance,Data Scientist,99825.87381311286
Master's,28,Urban,Finance,Project Manager,104137.64320875808
Master's,30,Suburban,Tech,Software Engineer,107303.02229854977
PhD,29,Urban,Education,Software Engineer,153114.63909526798
Master's,14,Urban,Education,Project Manager,76026.68390855199
Master's,17,Rural,Tech,Software Engineer,114414.92988653624
PhD,34,Urban,Tech,Software Engineer,154762.56285712845
Bachelor's,29,Urban,Finance,Business Analyst,110982.735134157
High School,33,Suburban,Tech,Others,90069.23511052824
Master's,10,Rural,Tech,Business Analyst,64034.629084645916
Bachelor's,26,Rural,Tech,Others,83054.7080525053
Master's,23,Urban,Healthcare,Business Analyst,104991.68820426056
Master's,34,Suburban,Tech,Business Analyst,111354.52459435203
High School,38,Rural,Healthcare,Data Scientist,91229.69336338069
Master's,7,Rural,Finance,Project Manager,82578.66561445183
High School,17,Urban,Finance,Business Analyst,71346.81793803145
High School,12,Rural,Education,Data Scientist,51960.33888444411
High School,23,Suburban,Finance,Business Analyst,90125.89096780476
Bachelor's,22,Suburban,Education,Project Manager,64773.71422787955
PhD,11,Rural,Healthcare,Data Scientist,107005.59930521055
Bachelor's,29,Suburban,Tech,Others,94961.00431417962
PhD,30,Suburban,Finance,Project Manager,126106.36064062265
PhD,27,Urban,Tech,Software Engineer,139890.32055117423
High School,21,Rural,Education,Data Scientist,63908.858129063636
Master's,27,Rural,Healthcare,Software Engineer,111174.33636749753
High School,12,Urban,Finance,Data Scientist,47772.64483071456
Master's,24,Urban,Tech,Others,102681.22936083323
PhD,6,Urban,Education,Data Scientist,80316.54848816828
High School,5,Urban,Tech,Business Analyst,12867.361439688233
Master's,23,Suburban,Finance,Software Engineer,96052.45942307483
Bachelor's,18,Suburban,Tech,Software Engineer,54744.234347664584
Master's,18,Urban,Healthcare,Data Scientist,98452.57723191929
High School,35,Rural,Finance,Business Analyst,77958.36238808786
Bachelor's,8,Rural,Education,Business Analyst,68900.37869860874
Master's,35,Rural,Finance,Data Scientist,101499.8162094807
Master's,37,Urban,Education,Project Manager,158400.14769291965
Master's,39,Suburban,Education,Others,121342.62873230435
Master's,28,Suburban,Finance,Data Scientist,87917.05968348485
Master's,23,Suburban,Education,Business Analyst,105566.53642525658
Bachelor's,4,Suburban,Finance,Others,69651.85144183875
PhD,25,Rural,Healthcare,Data Scientist,113798.68094600466
Bachelor's,13,Rural,Healthcare,Others,65721.07674974589
Bachelor's,38,Suburban,Tech,Project Manager,134379.27575854777
Bachelor's,28,Urban,Healthcare,Business Analyst,98270.04383937221
PhD,5,Suburban,Education,Project Manager,109119.79940082892
High School,6,Suburban,Tech,Project Manager,32318.003973863808
PhD,36,Urban,Tech,Business Analyst,124051.86149853881
Bachelor's,17,Suburban,Finance,Project Manager,79591.29316440626
Master's,22,Rural,Tech,Data Scientist,102679.35040057475
Master's,37,Urban,Finance,Data Scientist,141608.64275334467
Bachelor's,0,Urban,Tech,Others,39070.37208694726
Master's,3,Suburban,Healthcare,Data Scientist,63796.473835031364
Bachelor's,34,Rural,Finance,Data Scientist,98972.3651973614
Master's,22,Rural,Education,Others,97908.07307404262
PhD,26,Rural,Tech,Software Engineer,133181.4394266224
High School,25,Suburban,Healthcare,Business Analyst,71259.26662114164
High School,7,Suburban,Healthcare,Data Scientist,54724.05530012301
PhD,15,Rural,Finance,Others,115581.8822705257
PhD,40,Suburban,Finance,Project Manager,153773.54802614843
Bachelor's,2,Rural,Finance,Project Manager,38147.12138879948
Bachelor's,31,Suburban,Education,Data Scientist,107526.53761827786
Bachelor's,4,Urban,Education,Business Analyst,45460.31989365771
Master's,19,Urban,Education,Others,79247.23062381234
Bachelor's,13,Suburban,Tech,Others,89144.49186874068
PhD,31,Suburban,Education,Others,154834.05746758147
High School,25,Rural,Finance,Others,77206.85926680498
Master's,5,Urban,Healthcare,Others,63506.029390627504
Bachelor's,35,Rural,Healthcare,Business Analyst,128687.66060767083
Master's,39,Suburban,Finance,Others,136916.6831471585
Master's,4,Rural,Education,Business Analyst,71258.14398937605
Bachelor's,12,Rural,Education,Business Analyst,63831.19941839134
Master's,31,Suburban,Finance,Business Analyst,127793.89741308935
High School,15,Urban,Healthcare,Project Manager,51015.813334613485
PhD,0,Rural,Tech,Software Engineer,112118.53956785108
PhD,12,Suburban,Healthcare,Data Scientist,109484.71625295136
High School,10,Rural,Education,Project Manager,38881.17128459773
Master's,7,Suburban,Healthcare,Software Engineer,93598.15858333078
Bachelor's,24,Suburban,Education,Project Manager,69269.38166712894
Master's,39,Suburban,Healthcare,Business Analyst,133790.3010811673
High School,31,Urban,Finance,Business Analyst,78076.87606086071
Master's,23,Urban,Education,Others,98831.37949454946
PhD,27,Suburban,Tech,Business Analyst,121877.03235477304
Master's,13,Urban,Tech,Project Manager,89083.1707302161
High School,2,Rural,Finance,Data Scientist,20785.38893667781
PhD,35,Urban,Healthcare,Business Analyst,144467.82237463098
Master's,26,Urban,Finance,Software Engineer,128297.81466459658
Master's,19,Rural,Finance,Project Manager,116969.80066191997
PhD,14,Rural,Tech,Software Engineer,102935.50884055712
Bachelor's,26,Rural,Tech,Others,75523.41396004072
PhD,40,Suburban,Education,Others,160111.88915774718
Bachelor's,27,Rural,Education,Data Scientist,91509.39377507489
High School,24,Rural,Education,Project Manager,55749.9162368918
High School,32,Rural,Finance,Data Scientist,67433.37322875034
PhD,13,Suburban,Finance,Software Engineer,88627.83441931364
PhD,7,Urban,Education,Data Scientist,82826.95459334896
High School,13,Suburban,Tech,Software Engineer,47354.62206087915
Bachelor's,0,Urban,Tech,Data Scientist,66708.82612825888
High School,15,Rural,Healthcare,Others,50156.00476932633
PhD,17,Suburban,Education,Project Manager,118682.95873599807
High School,6,Suburban,Finance,Data Scientist,53866.860040284846
PhD,14,Urban,Healthcare,Software Engineer,121625.9788118342
PhD,23,Suburban,Healthcare,Project Manager,133484.76111397007
High School,12,Suburban,Healthcare,Others,41937.75534820199
Bachelor's,8,Urban,Education,Others,56954.71644390918
Master's,14,Suburban,Education,Business Analyst,74738.73050268581
High School,34,Suburban,Education,Project Manager,65435.10433958608
Master's,23,Rural,Tech,Data Scientist,96519.76585900948
High School,32,Rural,Healthcare,Others,65799.1894751692
Master's,15,Rural,Tech,Data Scientist,92012.41584955297
Bachelor's,7,Rural,Education,Data Scientist,57521.30534132311
Bachelor's,28,Rural,Tech,Software Engineer,89407.23248103251
High School,22,Suburban,Tech,Data Scientist,57047.2680795521
PhD,30,Suburban,Finance,Business Analyst,135752.3391296616
Master's,39,Rural,Education,Project Manager,112888.96507991989
PhD,13,Urban,Healthcare,Project Manager,87247.27890406465
PhD,29,Rural,Education,Software Engineer,131615.21162969896
PhD,38,Suburban,Tech,Business Analyst,142499.0690279624
Bachelor's,26,Urban,Education,Business Analyst,88123.30859363748
High School,15,Rural,Education,Project Manager,56577.79574649305
High School,5,Urban,Finance,Business Analyst,47498.18315424377
Bachelor's,32,Rural,Finance,Others,94358.41117044153
Bachelor's,17,Suburban,Education,Data Scientist,80285.93934793469
High School,15,Rural,Finance,Data Scientist,43366.04198839301
PhD,11,Urban,Tech,Project Manager,111528.99689041087
Master's,19,Suburban,Tech,Project Manager,77896.06829475451
Master's,39,Rural,Tech,Business Analyst,129384.702820727
Master's,28,Rural,Finance,Software Engineer,133000.50808630517
PhD,29,Rural,Education,Project Manager,94839.33876155037
High School,25,Rural,Tech,Project Manager,70569.239716875
Bachelor's,21,Suburban,Healthcare,Project Manager,83127.72836972857
High School,32,Suburban,Tech,Business Analyst,94627.026036461
PhD,38,Rural,Education,Others,151941.82403859354
Bachelor's,28,Suburban,Tech,Project Manager,82024.0687107883
PhD,21,Urban,Healthcare,Others,131120.33376761017
Master's,12,Suburban,Tech,Business Analyst,85992.50819213198
Master's,8,Urban,Tech,Software Engineer,78542.23744157092
PhD,23,Urban,Education,Data Scientist,139866.42248847726
Bachelor's,14,Suburban,Tech,Data Scientist,72289.69539717668
Bachelor's,35,Rural,Tech,Data Scientist,112113.46381038002
High School,12,Suburban,Finance,Data Scientist,59958.04216577683
Master's,26,Urban,Education,Business Analyst,112665.36894287389
High School,36,Urban,Education,Data Scientist,82538.88434553417
High School,6,Suburban,Education,Business Analyst,35778.192229504784
PhD,7,Urban,Education,Software Engineer,106454.32484054822
PhD,36,Suburban,Tech,Project Manager,140805.0646037061
High School,40,Suburban,Healthcare,Project Manager,87313.66013391533
Master's,13,Rural,Healthcare,Project Manager,98924.7074426926
PhD,11,Urban,Finance,Business Analyst,101476.3187928243
High School,35,Suburban,Tech,Business Analyst,79305.61119544136
High School,39,Urban,Education,Business Analyst,73101.65271993144
High School,16,Suburban,Education,Software Engineer,42005.582130926785
High School,39,Suburban,Healthcare,Others,92109.21397234185
High School,28,Rural,Finance,Business Analyst,80892.96695692692
High School,26,Suburban,Tech,Business Analyst,55211.7779564145
PhD,0,Rural,Finance,Project Manager,80842.0478795137
Master's,33,Urban,Tech,Data Scientist,148209.59808828848
High School,3,Rural,Finance,Data Scientist,31355.88516953159
Bachelor's,23,Rural,Finance,Software Engineer,82167.5294407962
PhD,20,Urban,Education,Data Scientist,121813.66835154538
PhD,32,Rural,Healthcare,Others,131360.519792627
High School,6,Rural,Education,Project Manager,39448.13470848536
PhD,0,Suburban,Healthcare,Software Engineer,86677.48950193112
High School,40,Rural,Finance,Data Scientist,89513.03356888267
Master's,2,Suburban,Tech,Data Scientist,81372.24615353465
Master's,14,Rural,Education,Project Manager,80821.73820481148
PhD,30,Urban,Tech,Software Engineer,131698.38816762113
PhD,15,Urban,Education,Project Manager,101077.35710321587
Bachelor's,9,Rural,Education,Software Engineer,81142.39036386863
PhD,28,Suburban,Education,Data Scientist,150327.4670057557
Bachelor's,5,Rural,Tech,Project Manager,62517.996671877394
Master's,28,Suburban,Education,Project Manager,108927.47194127987
Master's,16,Rural,Education,Others,85197.19989012166
High School,21,Urban,Education,Project Manager,66992.98386503852
Master's,23,Urban,Tech,Software Engineer,96137.45628713955
Bachelor's,16,Suburban,Education,Others,67180.4833325272
PhD,20,Rural,Tech,Project Manager,101643.4368695138
High School,10,Suburban,Healthcare,Project Manager,26596.873935960677
Bachelor's,6,Urban,Education,Others,63473.931875438444
PhD,38,Suburban,Finance,Data Scientist,139126.41684796987
High School,4,Rural,Healthcare,Project Manager,38878.10320715938
Master's,20,Suburban,Tech,Business Analyst,96822.00146592752
Bachelor's,17,Rural,Finance,Data Scientist,75429.37908776136
PhD,34,Rural,Tech,Project Manager,134396.24511969017
High School,19,Urban,Tech,Data Scientist,53292.62582108714
High School,14,Rural,Education,Software Engineer,48958.53425209217
